[ 2025-05-29 19:41:52,949 ] 28 root - INFO -  Gemini API init
[ 2025-05-29 19:50:14,603 ] 1025 httpx - INFO - HTTP Request: POST https://teapfuhassagydqswfyg.supabase.co/rest/v1/roadmap?columns=%22id%22%2C%22prompt%22%2C%22response%22 "HTTP/2 201 Created"
[ 2025-05-29 19:50:19,608 ] 189 root - INFO -  made prompt for Goal: Medical Technologist to Laboratory Information Systems Manager
[ 2025-05-29 19:50:46,241 ] 57 root - INFO -  got Gemini response starting from  Goal: Medical Technologist to Laboratory Information Systems Manager & 5 more...
[ 2025-05-29 19:50:47,208 ] 1025 httpx - INFO - HTTP Request: POST https://teapfuhassagydqswfyg.supabase.co/rest/v1/roadmap?columns=%22id%22%2C%22prompt%22%2C%22response%22 "HTTP/2 201 Created"
[ 2025-05-29 19:50:52,212 ] 189 root - INFO -  made prompt for Goal: Sales Associate to Revenue Operations Director
[ 2025-05-29 19:51:41,246 ] 57 root - INFO -  got Gemini response starting from  Goal: Sales Associate to Revenue Operations Director & 5 more...
[ 2025-05-29 19:51:41,796 ] 1025 httpx - INFO - HTTP Request: POST https://teapfuhassagydqswfyg.supabase.co/rest/v1/roadmap?columns=%22id%22%2C%22prompt%22%2C%22response%22 "HTTP/2 201 Created"
[ 2025-05-29 19:51:46,801 ] 189 root - INFO -  made prompt for Goal: Bookkeeper to Financial Systems Manager
[ 2025-05-29 19:52:24,418 ] 57 root - INFO -  got Gemini response starting from  Goal: Bookkeeper to Financial Systems Manager & 5 more...
[ 2025-05-29 19:52:24,654 ] 1025 httpx - INFO - HTTP Request: POST https://teapfuhassagydqswfyg.supabase.co/rest/v1/roadmap?columns=%22id%22%2C%22prompt%22%2C%22response%22 "HTTP/2 201 Created"
[ 2025-05-29 19:52:29,659 ] 189 root - INFO -  made prompt for Goal: Sales Development Representative to Head of Sales Development
[ 2025-05-29 19:53:09,102 ] 57 root - INFO -  got Gemini response starting from  Goal: Sales Development Representative to Head of Sales Development & 5 more...
[ 2025-05-29 19:53:10,146 ] 1025 httpx - INFO - HTTP Request: POST https://teapfuhassagydqswfyg.supabase.co/rest/v1/roadmap?columns=%22id%22%2C%22prompt%22%2C%22response%22 "HTTP/2 201 Created"
[ 2025-05-29 19:53:15,151 ] 189 root - INFO -  made prompt for Goal: Junior Architect to Principal Solutions Architect
[ 2025-05-29 19:53:39,388 ] 57 root - INFO -  got Gemini response starting from  Goal: Junior Architect to Principal Solutions Architect & 5 more...
[ 2025-05-29 19:53:39,817 ] 1025 httpx - INFO - HTTP Request: POST https://teapfuhassagydqswfyg.supabase.co/rest/v1/roadmap?columns=%22id%22%2C%22prompt%22%2C%22response%22 "HTTP/2 201 Created"
[ 2025-05-29 19:53:44,823 ] 189 root - INFO -  made prompt for Goal: Compliance Analyst to Chief Compliance Officer
[ 2025-05-29 19:54:26,851 ] 57 root - INFO -  got Gemini response starting from  Goal: Compliance Analyst to Chief Compliance Officer & 5 more...
[ 2025-05-29 19:54:27,422 ] 1025 httpx - INFO - HTTP Request: POST https://teapfuhassagydqswfyg.supabase.co/rest/v1/roadmap?columns=%22id%22%2C%22prompt%22%2C%22response%22 "HTTP/2 201 Created"
[ 2025-05-29 19:54:32,426 ] 189 root - INFO -  made prompt for Goal: Junior Scientist to Research and Development Director
[ 2025-05-29 19:55:12,859 ] 57 root - INFO -  got Gemini response starting from  Goal: Junior Scientist to Research and Development Director & 5 more...
[ 2025-05-29 19:55:13,335 ] 1025 httpx - INFO - HTTP Request: POST https://teapfuhassagydqswfyg.supabase.co/rest/v1/roadmap?columns=%22id%22%2C%22prompt%22%2C%22response%22 "HTTP/2 201 Created"
[ 2025-05-29 19:55:18,342 ] 189 root - INFO -  made prompt for Goal: Training Specialist to Chief Learning Officer
[ 2025-05-29 19:55:52,089 ] 57 root - INFO -  got Gemini response starting from  Goal: Training Specialist to Chief Learning Officer & 5 more...
[ 2025-05-29 19:55:52,312 ] 1025 httpx - INFO - HTTP Request: POST https://teapfuhassagydqswfyg.supabase.co/rest/v1/roadmap?columns=%22id%22%2C%22prompt%22%2C%22response%22 "HTTP/2 201 Created"
[ 2025-05-29 19:55:57,319 ] 189 root - INFO -  made prompt for Goal: Junior Treasurer to Chief Financial Officer
[ 2025-05-29 19:56:37,125 ] 57 root - INFO -  got Gemini response starting from  Goal: Junior Treasurer to Chief Financial Officer & 5 more...
[ 2025-05-29 19:56:38,021 ] 1025 httpx - INFO - HTTP Request: POST https://teapfuhassagydqswfyg.supabase.co/rest/v1/roadmap?columns=%22id%22%2C%22prompt%22%2C%22response%22 "HTTP/2 201 Created"
[ 2025-05-29 19:56:43,026 ] 189 root - INFO -  made prompt for Goal: Regulatory Specialist to Chief Regulatory Officer
[ 2025-05-29 19:57:17,359 ] 57 root - INFO -  got Gemini response starting from  Goal: Regulatory Specialist to Chief Regulatory Officer & 5 more...
[ 2025-05-29 19:57:18,055 ] 1025 httpx - INFO - HTTP Request: POST https://teapfuhassagydqswfyg.supabase.co/rest/v1/roadmap?columns=%22id%22%2C%22prompt%22%2C%22response%22 "HTTP/2 201 Created"
