Goal,habit,task,extra 
Goal: Understand Cloud Computing Basics,habit_count: 2,task_count: 6,"Extra: 5-week cloud introduction; information systems student learning modern infrastructure, targeting cloud literacy through AWS account setup, virtual machine creation, storage configuration, service exploration, cost monitoring, and simple web application deployment."
,,,
Goal: Learn WordPress Website Creation,habit_count: 2,task_count: 7,"Extra: 4-week content management; digital marketing student building online presence, targeting WordPress mastery through theme installation, plugin configuration, content creation, SEO optimization, security setup, backup procedures, and business website launch."
,,,
Goal: Master Adobe Creative Suite Basics,habit_count: 3,task_count: 8,"Extra: 7-week design foundation; graphic design student learning industry tools, targeting creative software through Photoshop basics, Illustrator fundamentals, InDesign layouts, color correction, vector graphics, typography design, logo creation, and portfolio development."
,,,
Goal: Understand Machine Learning Concepts,habit_count: 2,task_count: 9,"Extra: 8-week AI introduction; data science student exploring artificial intelligence, targeting ML understanding through Python libraries, data preprocessing, model training, algorithm comparison, prediction accuracy, visualization techniques, feature selection, supervised learning, and simple classification project."
,,,
Goal: Learn Cybersecurity Fundamentals,habit_count: 3,task_count: 7,"Extra: 6-week security awareness; computer science student concerned about digital safety, targeting security knowledge through threat identification, penetration testing basics, encryption implementation, secure coding practices, risk assessment, incident response, and security certification preparation."
,,,
Goal: Master Agile Development Methodology,habit_count: 2,task_count: 6,"Extra: 5-week project management; software engineering student learning industry practices, targeting Agile understanding through sprint planning, user story creation, daily standups, retrospective meetings, collaboration tools, and team project simulation."
,,,
Goal: Understand Blockchain Technology Basics,habit_count: 2,task_count: 8,"Extra: 7-week cryptocurrency foundation; finance student exploring digital currencies, targeting blockchain literacy through concept understanding, cryptocurrency basics, smart contract introduction, wallet setup, transaction tracking, mining concepts, security considerations, and investment analysis."
,,,
Goal: Learn UI/UX Design Principles,habit_count: 3,task_count: 7,"Extra: 6-week design thinking; computer science student wanting better interfaces, targeting user experience through wireframe creation, prototype development, user research, accessibility guidelines, color theory, typography selection, and usability testing."
,,,
Goal: Master PowerBI Data Visualization,habit_count: 2,task_count: 6,"Extra: 4-week business intelligence; data analytics student preparing for internships, targeting visualization skills through dashboard creation, data connection, chart selection, interactive features, report sharing, and business presentation preparation."
,,,
Goal: Understand Docker Containerization,habit_count: 2,task_count: 7,"Extra: 5-week DevOps introduction; software engineering student learning deployment, targeting containerization through Docker installation, image creation, container management, volume mounting, network configuration, compose files, and application deployment."
,,,
Goal: Learn Tableau for Data Analysis,habit_count: 3,task_count: 8,"Extra: 6-week visualization mastery; business analytics student creating compelling charts, targeting Tableau proficiency through data connection, chart creation, dashboard building, calculated fields, parameter usage, story telling, filter implementation, and client presentation."
,,,
Goal: Master Google Analytics Setup,habit_count: 2,task_count: 5,"Extra: 3-week web analytics; digital marketing student tracking website performance, targeting analytics understanding through account setup, tracking code installation, goal configuration, audience analysis, and traffic reporting."
,,,
Goal: Understand Selenium Test Automation,habit_count: 3,task_count: 7,"Extra: 7-week quality assurance; computer science student learning testing, targeting automation skills through tool installation, script writing, element identification, test case creation, framework setup, continuous integration, and bug reporting."
,,,
Goal: Learn Figma Design Tool,habit_count: 2,task_count: 6,"Extra: 4-week design software; graphic design student creating digital mockups, targeting Figma mastery through interface design, component creation, prototyping basics, collaboration features, version control, and client presentation."
,,,
Goal: Master Jenkins CI/CD Pipeline,habit_count: 2,task_count: 8,"Extra: 6-week DevOps automation; software engineering student learning deployment automation, targeting pipeline creation through Jenkins installation, job configuration, build automation, testing integration, deployment scripting, monitoring setup, notification configuration, and rollback procedures."
,,,
Goal: Understand TensorFlow Machine Learning,habit_count: 3,task_count: 9,"Extra: 8-week deep learning introduction; computer science student exploring AI frameworks, targeting TensorFlow usage through library installation, neural network creation, model training, data preprocessing, performance optimization, visualization techniques, model saving, prediction implementation, and image classification project."
,,,
Goal: Learn Shopify E-commerce Setup,habit_count: 2,task_count: 7,"Extra: 5-week online business; entrepreneurship student launching online store, targeting e-commerce mastery through store creation, product listing, payment setup, shipping configuration, theme customization, SEO optimization, and marketing integration."
,,,
Goal: Master Unity Game Development,habit_count: 3,task_count: 8,"Extra: 9-week game creation; computer science student interested in gaming industry, targeting Unity skills through engine installation, scene creation, scripting basics, physics implementation, animation setup, UI design, sound integration, and simple 2D game publication."
,,,
Goal: Understand Kubernetes Orchestration,habit_count: 2,task_count: 9,"Extra: 7-week container management; DevOps student learning scalability, targeting Kubernetes deployment through cluster setup, pod configuration, service creation, volume management, scaling automation, monitoring implementation, security policies, troubleshooting techniques, and microservices deployment."
,,,
Goal: Learn Photoshop Digital Art,habit_count: 3,task_count: 6,"Extra: 6-week digital creativity; art student transitioning to digital medium, targeting Photoshop artistry through brush techniques, layer management, color blending, digital painting, photo manipulation, and portfolio creation."
,,,
Goal: Master Zoom Integration Development,habit_count: 2,task_count: 7,"Extra: 4-week video conferencing; software development student building communication tools, targeting Zoom API through SDK installation, meeting creation, participant management, recording features, webhook setup, authentication implementation, and custom application development."
,,,
Goal: Understand IoT Device Programming,habit_count: 3,task_count: 8,"Extra: 8-week embedded systems; electrical engineering student learning connected devices, targeting IoT development through Arduino programming, sensor integration, wireless communication, data collection, cloud connectivity, mobile app interface, security implementation, and smart home project."
,,,
Goal: Learn MongoDB Database Management,habit_count: 2,task_count: 6,"Extra: 5-week NoSQL databases; full-stack developer student exploring document storage, targeting MongoDB skills through database creation, document insertion, query optimization, indexing strategies, aggregation pipelines, and web application integration."
,,,
Goal: Master Slack Bot Development,habit_count: 2,task_count: 7,"Extra: 4-week workplace automation; computer science student building productivity tools, targeting bot creation through API integration, command handling, message processing, workflow automation, user interaction, deployment setup, and team collaboration enhancement."
,,,
Goal: Understand Raspberry Pi Programming,habit_count: 3,task_count: 8,"Extra: 7-week hardware programming; computer engineering student learning embedded development, targeting Pi mastery through Linux setup, GPIO programming, sensor interfacing, camera integration, network configuration, automation scripts, remote access, and IoT project creation."
,,,
Goal: Learn Sketch App Design,habit_count: 2,task_count: 5,"Extra: 5-week interface design; UX design student creating mobile mockups, targeting Sketch proficiency through symbol creation, artboard management, plugin usage, prototype linking, and design system development."
,,,
Goal: Master Apache Web Server Setup,habit_count: 2,task_count: 8,"Extra: 6-week server administration; information technology student learning web hosting, targeting Apache configuration through installation process, virtual host setup, SSL certificate installation, performance optimization, security hardening, log analysis, module configuration, and website deployment."
,,,
Goal: Understand Flutter Mobile Development,habit_count: 3,task_count: 9,"Extra: 8-week cross-platform apps; software engineering student targeting iOS and Android, mastering Flutter through Dart language learning, widget composition, state management, navigation setup, API integration, database connectivity, testing implementation, performance optimization, and app store publication."
,,,
Goal: Learn Jira Project Management,habit_count: 2,task_count: 6,"Extra: 4-week agile tools; project management student organizing development workflows, targeting Jira mastery through project setup, issue tracking, sprint planning, board configuration, reporting features, and team collaboration."
,,,
Goal: Master Postman API Testing,habit_count: 2,task_count: 7,"Extra: 3-week API development; full-stack student testing backend services, targeting Postman skills through request creation, response validation, test scripting, environment variables, collection organization, automation setup, and documentation generation."
,,,
Goal: Understand Salesforce CRM Basics,habit_count: 2,task_count: 8,"Extra: 6-week customer management; business student preparing for CRM roles, targeting Salesforce proficiency through account setup, contact management, opportunity tracking, report generation, dashboard creation, workflow automation, user permissions, and certification preparation."
,,,
Goal: Learn Blender 3D Modeling,habit_count: 3,task_count: 7,"Extra: 9-week 3D creation; digital arts student exploring 3D graphics, targeting Blender mastery through interface navigation, modeling techniques, texturing basics, lighting setup, animation principles, rendering optimization, and creative project completion."
,,,
Goal: Master GitHub Actions Automation,habit_count: 2,task_count: 8,"Extra: 5-week workflow automation; software development student streamlining deployment, targeting GitHub Actions through workflow creation, trigger configuration, action marketplace, secrets management, matrix builds, artifact handling, deployment automation, and continuous integration setup."
,,,
Goal: Understand PowerShell Scripting,habit_count: 3,task_count: 6,"Extra: 6-week Windows automation; information technology student managing systems, targeting PowerShell proficiency through command basics, variable usage, function creation, file manipulation, system administration, and automation script development."
,,,
Goal: Learn Sketch to Code Conversion,habit_count: 2,task_count: 9,"Extra: 7-week design implementation; frontend developer student bridging design and development, targeting conversion skills through design analysis, HTML structure, CSS styling, responsive adaptation, component creation, interaction implementation, browser testing, performance optimization, and pixel-perfect execution."
,,,
Goal: Master Contentful CMS Management,habit_count: 2,task_count: 7,"Extra: 4-week headless CMS; web development student building modern websites, targeting Contentful usage through space setup, content modeling, entry creation, API integration, webhook configuration, localization setup, and frontend implementation."
,,,
Goal: Understand Stripe Payment Integration,habit_count: 2,task_count: 8,"Extra: 5-week e-commerce payments; full-stack student building online stores, targeting payment processing through API setup, checkout creation, subscription handling, webhook processing, security implementation, testing procedures, compliance understanding, and customer management."
,,,
Goal: Learn Adobe XD Prototyping,habit_count: 3,task_count: 6,"Extra: 5-week interaction design; UX student creating interactive prototypes, targeting XD mastery through artboard creation, component design, micro-interactions, user flow mapping, prototype sharing, and stakeholder feedback collection."
,,,
Goal: Master Notion Workspace Organization,habit_count: 2,task_count: 5,"Extra: 3-week productivity setup; business student organizing academic life, targeting Notion proficiency through database creation, template design, automation setup, collaboration features, and workflow optimization."
,,,
Goal: Understand Linux Server Administration,habit_count: 3,task_count: 9,"Extra: 8-week system management; computer science student learning server operations, targeting Linux skills through command line mastery, file permissions, user management, service configuration, network setup, security hardening, backup procedures, monitoring implementation, and troubleshooting techniques."
,,,
Goal: Learn Zapier Workflow Automation,habit_count: 2,task_count: 6,"Extra: 4-week process automation; business student connecting applications, targeting Zapier mastery through trigger setup, action configuration, multi-step workflows, error handling, testing procedures, and productivity enhancement."
,,,
Goal: Master Canva Design Templates,habit_count: 2,task_count: 7,"Extra: 3-week visual content; marketing student creating social media graphics, targeting Canva proficiency through template customization, brand kit setup, element library usage, animation features, collaboration tools, publishing options, and content calendar management."
,,,
Goal: Understand Firebase App Backend,habit_count: 3,task_count: 8,"Extra: 7-week serverless development; mobile app student building backend services, targeting Firebase implementation through project setup, authentication integration, database configuration, cloud functions, file storage, hosting deployment, analytics tracking, and security rules."
,,,
Goal: Learn Trello Project Boards,habit_count: 2,task_count: 5,"Extra: 2-week task management; project management student organizing team workflows, targeting Trello mastery through board creation, card organization, team collaboration, automation rules, and productivity tracking."
,,,
Goal: Master Webflow Visual Development,habit_count: 2,task_count: 8,"Extra: 6-week no-code websites; design student building responsive sites, targeting Webflow skills through visual editor, CMS setup, interaction design, responsive breakpoints, SEO optimization, form creation, e-commerce integration, and client handoff."
,,,
Goal: Understand Discord Bot Creation,habit_count: 3,task_count: 7,"Extra: 5-week community automation; computer science student building server tools, targeting bot development through Discord API, command handling, event listeners, database integration, moderation features, deployment setup, and community engagement."
,,,
Goal: Learn Airtable Database Design,habit_count: 2,task_count: 6,"Extra: 4-week relational data; business student organizing complex information, targeting Airtable proficiency through base creation, field configuration, view customization, automation setup, form creation, and team collaboration."
,,,
Goal: Master Twilio Communication APIs,habit_count: 2,task_count: 8,"Extra: 6-week messaging integration; software development student building communication features, targeting Twilio implementation through SMS sending, voice calls, WhatsApp integration, video conferencing, authentication services, webhook handling, error management, and customer communication."
,,,
Goal: Understand HubSpot Marketing Automation,habit_count: 2,task_count: 7,"Extra: 5-week inbound marketing; marketing student learning lead generation, targeting HubSpot usage through contact management, email campaigns, landing pages, workflow automation, analytics tracking, lead scoring, and sales pipeline management."
,,,
Goal: Learn Squarespace Website Building,habit_count: 2,task_count: 6,"Extra: 4-week website creation; entrepreneurship student launching business site, targeting Squarespace mastery through template selection, content customization, e-commerce setup, SEO optimization, analytics integration, and domain connection."
,,,
Goal: Master Mailchimp Email Marketing,habit_count: 3,task_count: 7,"Extra: 5-week email campaigns; marketing student building subscriber relationships, targeting Mailchimp proficiency through audience segmentation, campaign creation, automation workflows, A/B testing, performance analytics, template design, and subscriber growth strategies."
,,,
Goal: Understand Heroku App Deployment,habit_count: 2,task_count: 8,"Extra: 4-week cloud hosting; web development student deploying applications, targeting Heroku mastery through app creation, database integration, environment variables, scaling configuration, monitoring setup, CI/CD pipelines, troubleshooting deployment, and cost optimization."
,,,
Goal: Learn Shopify Liquid Templating,habit_count: 3,task_count: 6,"Extra: 6-week theme customization; e-commerce student personalizing online stores, targeting Liquid programming through syntax understanding, template modification, data manipulation, loop structures, conditional logic, and custom functionality development."
,,,
Goal: Master Google Ads Campaign Setup,habit_count: 2,task_count: 9,"Extra: 7-week digital advertising; marketing student driving online traffic, targeting Google Ads through keyword research, ad creation, bidding strategies, audience targeting, conversion tracking, budget optimization, performance analysis, quality score improvement, and ROI measurement."
,,,
Goal: Understand Elasticsearch Data Search,habit_count: 2,task_count: 7,"Extra: 6-week search engine; data science student building search functionality, targeting Elasticsearch through index creation, document mapping, query construction, aggregation analysis, performance optimization, cluster management, and search interface development."
,,,
Goal: Learn ClickFunnels Sales Pages,habit_count: 2,task_count: 6,"Extra: 4-week conversion optimization; marketing student building sales funnels, targeting ClickFunnels mastery through funnel design, page templates, A/B testing, payment integration, email automation, and conversion tracking."
,,,
Goal: Master Gutenberg WordPress Blocks,habit_count: 3,task_count: 8,"Extra: 5-week content creation; web development student customizing WordPress sites, targeting Gutenberg proficiency through block editor, custom blocks, pattern creation, theme integration, responsive design, accessibility features, SEO optimization, and client training."
,,,
Goal: Understand Netlify Static Hosting,habit_count: 2,task_count: 7,"Extra: 3-week JAMstack deployment; frontend student deploying static sites, targeting Netlify usage through Git integration, build configuration, form handling, function deployment, domain setup, performance optimization, and continuous deployment."
,,,
Goal: Learn Bubble No-Code Development,habit_count: 2,task_count: 9,"Extra: 8-week visual programming; entrepreneurship student building web applications, targeting Bubble mastery through visual editor, database design, workflow creation, user authentication, responsive layouts, API connections, payment processing, app publishing, and user testing."
,,,
Goal: Master Klaviyo Email Automation,habit_count: 3,task_count: 7,"Extra: 6-week e-commerce marketing; marketing student driving sales through email, targeting Klaviyo proficiency through customer segmentation, automated flows, personalization strategies, A/B testing, performance analytics, integration setup, and revenue attribution."
,,,
Goal: Understand Vercel Frontend Deployment,habit_count: 2,task_count: 6,"Extra: 4-week modern hosting; React developer student deploying applications, targeting Vercel mastery through project deployment, environment variables, preview deployments, domain configuration, analytics setup, and performance optimization."
,,,
Goal: Learn Webex Integration Development,habit_count: 2,task_count: 8,"Extra: 5-week video conferencing; software engineering student building meeting tools, targeting Webex API through SDK integration, meeting scheduling, participant management, recording features, webhook implementation, authentication setup, custom applications, and enterprise integration."
,,,
Goal: Master ConvertKit Email Marketing,habit_count: 2,task_count: 7,"Extra: 5-week creator marketing; content creation student building audience, targeting ConvertKit usage through subscriber management, automated sequences, landing page creation, tag organization, broadcast campaigns, integration setup, and audience growth strategies."
,,,
Goal: Understand Supabase Backend Services,habit_count: 3,task_count: 8,"Extra: 6-week Firebase alternative; full-stack student building modern applications, targeting Supabase implementation through database setup, authentication integration, real-time subscriptions, file storage, edge functions, API generation, security policies, and frontend integration."
,,,
Goal: Learn Loom Video Recording,habit_count: 2,task_count: 5,"Extra: 3-week content creation; education student creating instructional videos, targeting Loom proficiency through screen recording, video editing, sharing options, viewer analytics, team collaboration, and educational content creation."
,,,
Goal: Master Typeform Survey Creation,habit_count: 2,task_count: 6,"Extra: 4-week data collection; research student gathering feedback, targeting Typeform usage through form design, logic branching, response analysis, integration setup, custom branding, and survey optimization strategies."
,,,
Goal: Understand PlanetScale Database Scaling,habit_count: 2,task_count: 9,"Extra: 7-week database management; backend development student learning scalable databases, targeting PlanetScale through branching workflows, schema migrations, query optimization, connection management, monitoring setup, backup procedures, scaling strategies, performance tuning, and production deployment."
,,,
Goal: Learn Calendly Scheduling Automation,habit_count: 2,task_count: 6,"Extra: 3-week appointment booking; business student streamlining meetings, targeting Calendly mastery through availability setup, meeting types, integration connections, automated reminders, team scheduling, and workflow optimization."
,,,
Goal: Master Framer Motion Animations,habit_count: 3,task_count: 7,"Extra: 6-week React animations; frontend student creating engaging interfaces, targeting Framer Motion through component animations, gesture handling, layout transitions, scroll-triggered effects, variant management, performance optimization, and interactive prototypes."
,,,
Goal: Understand Stripe Connect Marketplace,habit_count: 2,task_count: 8,"Extra: 7-week platform payments; fintech student building marketplace platforms, targeting Connect implementation through account onboarding, payment splitting, fee collection, payout management, compliance handling, dispute resolution, KYC verification, and platform economics."
,,,
Goal: Learn Ghost CMS Publishing,habit_count: 2,task_count: 6,"Extra: 4-week content management; journalism student building publication platform, targeting Ghost mastery through content creation, theme customization, membership setup, newsletter integration, SEO optimization, and audience building."
,,,
Goal: Master Algolia Search Implementation,habit_count: 2,task_count: 7,"Extra: 5-week search optimization; e-commerce student improving site search, targeting Algolia integration through index configuration, search interface, filtering options, analytics tracking, autocomplete features, personalization setup, and performance monitoring."
,,,
Goal: Understand Railway App Deployment,habit_count: 2,task_count: 8,"Extra: 4-week cloud deployment; full-stack student hosting applications, targeting Railway usage through project setup, database connection, environment configuration, scaling options, monitoring tools, CI/CD integration, custom domains, and cost management."
,,,
Goal: Learn Tally Form Creation,habit_count: 2,task_count: 5,"Extra: 3-week form building; UX researcher student collecting user feedback, targeting Tally mastery through form design, response collection, data analysis, integration setup, and user experience optimization."
,,,
Goal: Master Plausible Analytics Setup,habit_count: 2,task_count: 6,"Extra: 3-week privacy analytics; web developer student implementing cookieless tracking, targeting Plausible through script installation, goal configuration, dashboard customization, data interpretation, team sharing, and privacy-first analytics."
,,,
Goal: Understand Sanity CMS Integration,habit_count: 3,task_count: 8,"Extra: 6-week headless content; JAMstack developer student building flexible websites, targeting Sanity implementation through studio setup, schema design, content modeling, API integration, real-time preview, collaborative editing, deployment automation, and frontend consumption."
,,,
Goal: Learn Luma Event Management,habit_count: 2,task_count: 7,"Extra: 5-week event organization; community management student hosting virtual events, targeting Luma proficiency through event creation, attendee management, ticketing setup, networking features, analytics tracking, integration options, and community building."
,,,
Goal: Master Linear Issue Tracking,habit_count: 2,task_count: 6,"Extra: 4-week project management; software team student organizing development workflow, targeting Linear usage through issue creation, sprint planning, team collaboration, workflow automation, reporting features, and productivity optimization."
,,,
Goal: Understand Prisma Database Toolkit,habit_count: 3,task_count: 9,"Extra: 7-week database abstraction; backend development student simplifying database operations, targeting Prisma mastery through schema definition, migration management, type safety, query optimization, relation handling, database seeding, performance monitoring, multi-database support, and ORM best practices."
,,,
Goal: Learn Retool Internal Tools,habit_count: 2,task_count: 8,"Extra: 6-week admin dashboard; startup student building internal applications, targeting Retool development through drag-drop interface, database connections, API integrations, user permissions, workflow automation, custom components, team collaboration, and business process optimization."
,,,
Goal: Master Clerk User Authentication,habit_count: 2,task_count: 7,"Extra: 4-week secure login; web application student implementing user management, targeting Clerk integration through authentication setup, user profiles, social logins, session management, security features, customization options, and seamless user experience."
,,,
Goal: Understand Turborepo Monorepo Management,habit_count: 2,task_count: 8,"Extra: 5-week code organization; full-stack team student managing multiple projects, targeting Turborepo through workspace setup, build optimization, dependency management, shared configurations, deployment strategies, performance monitoring, team workflows, and scalable architecture."
,,,
Goal: Learn Remix Full-Stack Framework,habit_count: 3,task_count: 9,"Extra: 8-week modern React; web development student building fast applications, targeting Remix mastery through routing system, data loading, form handling, error boundaries, progressive enhancement, server-side rendering, deployment options, performance optimization, and user experience focus."
,,,
Goal: Master Upstash Serverless Redis,habit_count: 2,task_count: 7,"Extra: 5-week caching solutions; backend student optimizing application performance, targeting Upstash implementation through cache setup, data structures, expiration policies, connection management, performance monitoring, cost optimization, and scalable caching strategies."
,,,
Goal: Understand Neon Serverless Postgres,habit_count: 2,task_count: 8,"Extra: 6-week modern database; full-stack student building scalable applications, targeting Neon usage through database creation, connection pooling, branching workflows, query optimization, backup strategies, monitoring setup, cost management, and production deployment."
,,,
Goal: Learn Raycast Extension Development,habit_count: 2,task_count: 6,"Extra: 4-week productivity tools; Mac user student building custom workflows, targeting Raycast extensions through TypeScript development, API integration, command creation, UI components, store publishing, and productivity enhancement."
,,,
Goal: Master Deno Runtime Development,habit_count: 3,task_count: 8,"Extra: 7-week JavaScript runtime; systems programming student exploring Node.js alternatives, targeting Deno proficiency through TypeScript integration, built-in tools, security model, standard library, web APIs, deployment options, performance characteristics, and modern development practices."
,,,
Goal: Understand Bun JavaScript Runtime,habit_count: 2,task_count: 7,"Extra: 5-week fast development; performance-focused student optimizing build times, targeting Bun usage through package management, bundling optimization, test runner, development server, TypeScript support, compatibility testing, and development workflow enhancement."
,,,
Goal: Learn Cal.com Scheduling Platform,habit_count: 2,task_count: 6,"Extra: 4-week open-source calendaring; service business student building booking system, targeting Cal.com through self-hosting, customization options, payment integration, team scheduling, workflow automation, and business process optimization."
,,,
Goal: Master Temporal Workflow Engine,habit_count: 2,task_count: 9,"Extra: 8-week distributed systems; backend engineering student building reliable workflows, targeting Temporal implementation through workflow definition, activity creation, error handling, retry policies, monitoring setup, scaling strategies, failure recovery, state management, and microservices orchestration."
,,,
Goal: Understand Grafana Monitoring Dashboards,habit_count: 3,task_count: 8,"Extra: 6-week observability; DevOps student monitoring application performance, targeting Grafana mastery through dashboard creation, data source integration, alert configuration, visualization options, team collaboration, performance analysis, troubleshooting workflows, and operational insights."
,,,
Goal: Learn Astro Static Site Generator,habit_count: 2,task_count: 7,"Extra: 5-week modern static sites; frontend student building fast websites, targeting Astro development through component islands, framework integration, build optimization, content collections, deployment strategies, SEO features, and performance-first development."
,,,
Goal: Master Coolify Self-Hosting Platform,habit_count: 2,task_count: 8,"Extra: 6-week infrastructure management; systems administration student deploying applications, targeting Coolify through server setup, application deployment, database management, monitoring configuration, backup automation, security hardening, cost optimization, and self-hosting independence."
,,,
Goal: Understand EdgeDB Graph-Relational Database,habit_count: 3,task_count: 9,"Extra: 7-week next-generation database; data engineering student exploring modern storage, targeting EdgeDB through schema design, query language, migration management, type safety, performance optimization, integration patterns, development workflows, data modeling, and application architecture."
,,,
Goal: Learn Tauri Desktop App Development,habit_count: 2,task_count: 8,"Extra: 6-week cross-platform apps; software engineering student building desktop applications, targeting Tauri mastery through Rust backend, web frontend integration, system API access, security model, build optimization, distribution setup, platform compatibility, and native performance."
,,,
Goal: Master Wasm WebAssembly Programming,habit_count: 3,task_count: 7,"Extra: 8-week high-performance web; systems programming student optimizing browser applications, targeting WebAssembly through Rust compilation, JavaScript interop, memory management, performance benchmarking, browser compatibility, debugging tools, and compute-intensive applications."
,,,
Goal: Understand SvelteKit Full-Stack Framework,habit_count: 2,task_count: 9,"Extra: 7-week reactive development; frontend student building modern applications, targeting SvelteKit through component reactivity, routing system, server-side rendering, API routes, form handling, static generation, deployment options, performance optimization, and developer experience."
,,,
Goal: Learn Pocketbase Backend-as-a-Service,habit_count: 2,task_count: 6,"Extra: 4-week rapid prototyping; indie developer student building MVP applications, targeting Pocketbase through database setup, user authentication, real-time subscriptions, file storage, admin dashboard, and rapid development workflows."
,,,
Goal: Master Solid.js Reactive Framework,habit_count: 3,task_count: 8,"Extra: 6-week fine-grained reactivity; performance-focused student exploring React alternatives, targeting Solid.js through reactive primitives, component composition, state management, performance optimization, ecosystem integration, migration strategies, build tools, and modern development patterns."
,,,
Goal: Understand Fresh Deno Framework,habit_count: 2,task_count: 7,"Extra: 5-week islands architecture; web development student building edge-first applications, targeting Fresh through Deno runtime, TypeScript integration, island components, edge deployment, performance optimization, SEO features, and modern web standards."
,,,
Goal: Learn Qwik Resumable Framework,habit_count: 2,task_count: 8,"Extra: 6-week instant loading; performance student building zero-hydration applications, targeting Qwik through resumable execution, component lazy loading, serialization strategies, edge-side rendering, performance monitoring, build optimization, deployment options, and user experience enhancement."
,,,
Goal: Master Capacitor Mobile Development,habit_count: 3,task_count: 9,"Extra: 8-week hybrid apps; mobile development student building cross-platform applications, targeting Capacitor through web-to-native bridge, plugin ecosystem, device API access, performance optimization, app store deployment, native integration, testing strategies, platform-specific features, and user experience polish."
,,,
Goal: Understand Electron Desktop Framework,habit_count: 2,task_count: 8,"Extra: 7-week desktop applications; software engineering student building native-feeling apps, targeting Electron through main process, renderer process, IPC communication, native menus, system integration, packaging strategies, security considerations, and performance optimization."
,,,
Goal: Learn NestJS Node.js Framework,habit_count: 3,task_count: 9,"Extra: 8-week enterprise backend; server-side student building scalable APIs, targeting NestJS through dependency injection, decorators system, module architecture, database integration, authentication guards, testing strategies, microservices patterns, documentation generation, and production deployment."
,,,
Goal: Master Fastify Web Framework,habit_count: 2,task_count: 7,"Extra: 5-week high-performance APIs; backend development student optimizing server speed, targeting Fastify through request handling, plugin ecosystem, schema validation, logging integration, testing setup, performance benchmarking, and production optimization."
,,,
